N,seed,rho,f_elongated,s_max_norm,s_max_norm_2,classification,status
1000,211701226972609,0.75,0.4334428571428572,0.2134142857142857,0.2321571428571428,0,unjammed
1000,292918525777755,0.75,0.4863428571428571,0.1983857142857142,0.2107857142857142,0,unjammed
1000,731147908347497,0.75,0.5160142857142859,0.1415857142857143,0.1527,0,unjammed
1000,985549376192247,0.75,0.4202714285714285,0.1851,0.2181999999999999,0,unjammed
1000,873456432950595,0.75,0.3809,0.216,0.248,0,unjammed
1000,422219896800918,0.75,0.493442857142857,0.1244571428571428,0.1369285714285714,0,unjammed
1000,900740014674953,0.75,0.4265428571428571,0.2378142857142857,0.2763428571428571,0,unjammed
1000,1020578668480920,0.75,0.4566285714285714,0.1527,0.1733,0,unjammed
1000,343569160877337,0.75,0.5284571428571428,0.1217428571428571,0.1328714285714285,0,unjammed
1000,78804909138230,0.75,0.5220999999999999,0.1131285714285714,0.1231142857142857,0,unjammed
1000,333614425743970,0.75,0.6533285714285713,0.0617285714285714,0.0645428571428571,0,unjammed
1000,974443487743328,0.75,0.4616857142857143,0.1359142857142857,0.1592428571428571,0,unjammed
1000,703985244396274,0.75,0.4626999999999999,0.1468285714285714,0.1639571428571428,0,unjammed
1000,1122578106359740,0.75,0.3960142857142857,0.2325285714285714,0.2603999999999999,0,unjammed
1000,492938554100859,0.75,0.4280142857142857,0.2122428571428571,0.2357142857142857,0,unjammed
1000,170902461924754,0.75,0.4194428571428572,0.2254428571428571,0.2548285714285714,0,unjammed
1000,260045648084392,0.75,0.4758571428571428,0.1866571428571428,0.2056285714285714,0,unjammed
1000,450419983107763,0.75,0.4340714285714286,0.1361142857142857,0.1569571428571428,0,unjammed
1000,543308666121182,0.75,0.3537857142857142,0.2729857142857143,0.3069857142857142,0,unjammed
1000,593849570694833,0.75,0.4988000000000001,0.1618,0.1729285714285714,0,unjammed
1000,582382717235568,0.75,0.491257142857143,0.1210428571428571,0.1324571428571428,0,unjammed
1000,1123570616129223,0.75,0.4999428571428571,0.1304,0.1537142857142857,0,unjammed
1000,680622798933824,0.75,0.5175857142857142,0.1611285714285714,0.1786857142857142,0,unjammed
1000,201764007966294,0.75,0.6062857142857142,0.0990571428571428,0.1120285714285714,0,unjammed
1000,453356923466257,0.75,0.4739857142857143,0.1521428571428571,0.1640428571428571,0,unjammed
1000,346214149398000,0.75,0.3898714285714286,0.2446857142857142,0.2789,0,unjammed
1000,353918643079908,0.75,0.4183714285714286,0.2308571428571428,0.2496714285714285,0,unjammed
1000,971536625474344,0.75,0.4918571428571429,0.1300428571428571,0.1499857142857143,0,unjammed
