step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
13100,58.203125,1298.296875,44.796875,177.5,98.53125,47.515625,15.03125,1460.828125,20.796875,41.890625,307.859375,62.3125
13200,55.015625,1312.984375,38.5625,174.6875,114.421875,45.8125,15.4375,1460.546875,15.1875,42.703125,309.578125,65.4375
13300,55.84375,1293.421875,43.171875,182.09375,119.8125,43.734375,15.71875,1439.21875,24.734375,42.21875,328.53125,57.4375
13400,54.953125,1286.5625,53.109375,180.640625,110.234375,49.59375,15.859375,1437.828125,23.765625,43.390625,314.515625,70.3125
13500,52.53125,1305.25,41.234375,180.046875,120.09375,49.46875,15.78125,1432.1875,21.3125,41.671875,331.03125,59.75
13600,54.609375,1304.140625,35.046875,180.171875,118.46875,53.359375,16.78125,1425.4375,24.625,43.21875,333.078125,62.4375
13700,54.328125,1281.171875,51.515625,181.875,124.21875,47.109375,17.59375,1412.765625,30.15625,42.828125,344.296875,63.671875
13800,54.015625,1281.375,49.796875,183.875,126.84375,51.890625,17.28125,1409.75,30.71875,43.921875,345.625,56.5625
13900,52.515625,1273.46875,51.453125,183.09375,113.453125,52.34375,17.0,1424.5625,18.25,44.5625,318.84375,73.546875
14000,52.765625,1297.203125,40.078125,179.453125,120.109375,52.03125,17.015625,1431.015625,17.140625,42.234375,333.96875,69.375
14100,54.328125,1306.078125,30.875,181.671875,116.859375,54.390625,17.921875,1424.921875,18.546875,42.96875,339.828125,61.984375
14200,52.90625,1278.21875,42.671875,182.140625,111.125,54.875,17.34375,1422.15625,21.59375,43.421875,323.046875,79.0
14300,50.1875,1308.078125,36.125,182.84375,118.75,54.84375,16.3125,1420.828125,24.015625,43.421875,325.390625,70.703125
14400,51.15625,1289.671875,39.53125,183.46875,122.171875,47.859375,16.96875,1418.625,20.484375,41.984375,350.765625,62.90625
14500,50.015625,1298.890625,30.265625,184.953125,113.375,52.71875,16.3125,1420.0,17.609375,44.0,318.578125,79.9375
14600,50.859375,1300.046875,33.640625,185.1875,116.15625,54.203125,16.578125,1417.78125,16.390625,44.015625,316.5625,81.140625
14700,50.15625,1270.296875,48.484375,184.6875,120.046875,51.296875,16.9375,1404.296875,18.65625,42.515625,335.203125,74.671875
14800,49.421875,1289.671875,41.21875,187.140625,122.328125,48.046875,16.9375,1390.828125,30.09375,44.40625,340.703125,68.9375
14900,50.65625,1281.21875,44.0,186.71875,123.953125,50.171875,18.921875,1389.25,25.796875,43.578125,353.703125,74.921875
15000,50.28125,1301.65625,31.546875,187.0625,126.46875,51.09375,18.5,1387.28125,23.421875,43.265625,377.28125,52.578125
15100,48.578125,1276.671875,51.734375,185.859375,122.640625,52.5625,18.734375,1386.09375,22.546875,42.71875,374.5,60.65625
15200,49.875,1279.625,41.84375,187.296875,116.71875,54.71875,18.625,1381.921875,24.234375,42.5625,368.40625,67.296875
15300,52.265625,1267.734375,39.828125,190.171875,130.875,56.15625,18.640625,1374.53125,24.71875,41.75,385.75,67.671875
15400,51.84375,1273.953125,33.96875,189.921875,132.21875,56.46875,18.65625,1383.078125,15.734375,42.8125,371.5,66.484375
15500,49.765625,1288.984375,29.59375,187.078125,134.109375,56.109375,18.78125,1387.328125,14.765625,42.296875,375.34375,66.859375
15600,49.53125,1290.75,34.359375,186.453125,126.96875,54.1875,18.8125,1376.65625,23.203125,42.796875,370.515625,63.40625
15700,48.296875,1288.796875,33.0625,187.625,132.84375,51.796875,18.265625,1376.484375,22.40625,42.171875,381.09375,67.671875
15800,45.984375,1291.34375,36.21875,187.09375,118.765625,58.125,18.0,1376.25,19.578125,42.015625,385.15625,64.625
15900,46.953125,1279.71875,37.421875,184.65625,133.75,53.140625,19.125,1363.65625,26.90625,42.890625,385.5,57.15625
16000,49.03125,1265.828125,38.765625,185.640625,140.84375,51.734375,19.90625,1351.359375,28.265625,41.28125,387.8125,63.46875
16100,47.71875,1245.484375,48.84375,184.6875,143.25,52.734375,19.078125,1345.796875,35.265625,42.4375,400.84375,52.8125
16200,46.546875,1249.15625,63.96875,184.390625,147.046875,54.671875,18.625,1343.640625,35.453125,42.296875,395.296875,54.5625
16300,47.203125,1259.921875,45.796875,183.078125,139.84375,55.09375,18.46875,1342.515625,37.203125,41.59375,400.546875,56.4375
16400,46.21875,1260.765625,45.5,182.796875,144.5,56.9375,18.03125,1345.8125,32.5625,42.421875,386.359375,65.921875
16500,43.765625,1260.703125,50.203125,180.96875,129.71875,57.9375,16.875,1358.328125,27.546875,40.703125,380.0625,63.234375
16600,44.96875,1272.546875,47.46875,184.59375,133.609375,58.671875,18.484375,1355.0,28.453125,42.578125,373.984375,74.390625
16700,46.125,1283.53125,31.125,185.28125,136.171875,57.953125,18.828125,1354.65625,23.9375,40.75,385.9375,69.21875
16800,46.25,1257.921875,46.734375,186.515625,149.421875,54.625,18.609375,1341.734375,33.671875,42.984375,391.78125,63.328125
16900,48.21875,1244.140625,48.4375,188.125,152.359375,60.40625,19.296875,1320.90625,41.625,41.09375,409.4375,59.546875
17000,45.703125,1238.09375,48.59375,189.125,153.59375,58.03125,19.09375,1308.421875,43.25,40.1875,399.640625,74.59375
17100,47.484375,1216.765625,64.25,188.59375,154.484375,62.171875,19.96875,1308.921875,38.96875,39.40625,432.328125,59.828125
17200,48.09375,1210.421875,55.34375,195.234375,157.765625,58.578125,20.65625,1301.8125,37.328125,40.21875,442.5625,60.53125
17300,47.0,1212.015625,48.953125,189.671875,166.953125,59.109375,20.984375,1295.9375,33.046875,40.28125,446.375,56.171875
17400,47.984375,1226.15625,46.890625,192.484375,164.421875,54.640625,20.9375,1295.765625,38.28125,40.5,446.078125,57.25
17500,46.421875,1215.5,55.890625,188.359375,165.0625,59.0,21.53125,1291.984375,40.875,41.296875,447.84375,55.234375
17600,47.171875,1221.8125,52.859375,187.296875,153.640625,67.734375,20.65625,1305.0625,32.6875,40.609375,427.796875,62.828125
17700,45.421875,1217.0625,56.1875,187.09375,170.359375,57.828125,20.234375,1307.203125,34.921875,41.8125,429.609375,63.515625
17800,45.546875,1218.484375,58.59375,192.28125,164.828125,59.828125,19.953125,1291.015625,41.5625,41.53125,437.65625,58.25
17900,44.375,1227.546875,54.6875,189.953125,152.25,63.5,19.984375,1303.6875,32.71875,42.34375,428.03125,66.5625
18000,44.65625,1246.203125,42.65625,187.390625,153.546875,60.328125,19.703125,1310.296875,28.234375,42.84375,412.375,76.734375
18100,43.8125,1250.4375,45.53125,187.40625,160.640625,61.109375,20.765625,1311.890625,29.359375,42.1875,416.03125,71.984375
18200,42.625,1265.90625,39.40625,184.046875,157.390625,63.8125,20.453125,1316.46875,27.546875,41.515625,437.21875,56.234375
18300,40.078125,1268.578125,40.515625,183.28125,167.828125,62.578125,18.6875,1314.640625,34.421875,42.140625,423.140625,61.890625
18400,40.296875,1281.421875,31.359375,183.34375,156.984375,66.03125,19.03125,1327.0625,23.671875,41.328125,422.71875,62.59375
18500,40.34375,1286.53125,29.796875,181.4375,145.421875,63.296875,19.390625,1329.25,26.1875,40.859375,418.796875,63.765625
18600,40.15625,1283.90625,34.6875,180.921875,159.8125,58.765625,18.765625,1335.328125,26.25,43.015625,418.9375,54.265625
18700,39.6875,1276.140625,43.515625,179.03125,160.71875,59.15625,18.390625,1329.71875,30.765625,40.078125,447.65625,48.890625
18800,39.25,1290.484375,38.609375,178.984375,155.046875,60.078125,18.28125,1333.6875,32.84375,41.234375,403.015625,71.703125
18900,37.6875,1304.078125,33.171875,176.96875,161.34375,54.4375,18.234375,1342.609375,31.125,40.046875,397.484375,67.625
19000,39.734375,1284.546875,46.140625,177.515625,156.015625,56.578125,18.625,1340.953125,30.046875,39.28125,419.5,57.671875
19100,40.625,1279.375,44.3125,180.765625,152.765625,63.90625,19.6875,1329.140625,30.609375,36.953125,427.0625,63.796875
19200,39.84375,1273.65625,42.65625,182.875,156.765625,55.5,19.875,1314.65625,42.71875,39.484375,423.59375,66.421875
19300,39.40625,1282.640625,40.90625,182.671875,147.09375,59.359375,19.359375,1328.0625,29.390625,39.671875,432.9375,62.640625
19400,41.515625,1251.671875,48.8125,184.828125,153.5,59.578125,20.3125,1308.03125,37.21875,37.203125,425.390625,69.296875
19500,41.65625,1267.78125,42.515625,182.96875,151.28125,64.15625,19.71875,1321.703125,27.1875,39.96875,432.0625,59.53125
19600,42.921875,1261.40625,40.65625,185.921875,162.9375,59.390625,20.734375,1304.28125,32.984375,39.046875,421.53125,68.828125
19700,44.140625,1268.59375,29.859375,191.546875,145.59375,63.890625,21.421875,1304.890625,30.875,39.265625,448.453125,54.96875
19800,43.59375,1265.4375,28.59375,193.8125,152.03125,55.3125,20.640625,1308.875,25.671875,41.0,428.078125,64.296875
19900,42.078125,1241.9375,49.71875,194.953125,143.03125,60.03125,19.859375,1301.6875,34.96875,40.09375,417.109375,71.796875
20000,44.234375,1229.90625,54.125,195.59375,137.71875,59.5,20.859375,1297.515625,33.390625,39.15625,444.625,67.609375
20100,43.875,1234.28125,46.03125,198.421875,155.078125,59.5,20.953125,1283.828125,35.578125,39.5625,433.046875,74.90625
20200,45.15625,1220.71875,53.53125,200.375,152.40625,60.390625,21.421875,1270.375,44.96875,39.5,467.421875,57.28125
20300,43.703125,1234.796875,43.390625,200.390625,142.640625,60.4375,20.8125,1280.359375,41.234375,40.625,424.734375,81.75
20400,44.3125,1246.40625,40.90625,196.015625,148.125,57.234375,21.703125,1287.828125,38.109375,41.53125,423.0,72.25
20500,44.171875,1245.53125,36.375,195.890625,140.921875,60.40625,21.515625,1290.75,32.28125,42.578125,438.9375,63.078125
20600,43.859375,1241.59375,39.796875,192.40625,142.640625,65.046875,21.15625,1299.09375,30.515625,40.671875,431.40625,68.46875
20700,41.84375,1244.953125,44.4375,192.953125,147.546875,56.3125,20.28125,1308.640625,26.359375,40.515625,432.21875,70.046875
20800,43.4375,1262.390625,36.109375,190.8125,143.859375,63.53125,20.90625,1312.03125,24.734375,41.859375,410.125,75.953125
20900,41.90625,1268.4375,31.609375,195.984375,134.25,64.375,20.265625,1311.78125,26.75,42.0,411.484375,81.71875
21000,41.21875,1268.40625,33.78125,192.859375,134.140625,62.5,20.28125,1315.3125,26.453125,42.21875,409.546875,77.046875
21100,41.65625,1257.96875,42.578125,193.53125,136.046875,59.28125,20.171875,1311.15625,30.8125,43.515625,379.6875,88.125
21200,41.078125,1279.9375,34.78125,191.609375,131.5,55.515625,20.515625,1315.703125,31.78125,42.578125,387.671875,77.296875
21300,41.8125,1273.28125,40.46875,191.375,142.140625,59.21875,20.40625,1324.9375,26.5,41.078125,407.296875,72.234375
21400,40.65625,1278.953125,36.875,187.875,135.625,59.890625,20.375,1324.75,29.546875,40.5625,400.25,70.484375
